company_name,slug,rating,profile_url
YASH Technologies,yash-technologies,3.7,https://www.ambitionbox.com/reviews/yash-technologies-reviews
HSBC Electronic Data Processing,hsbc-electronic-data-processing,4.0,https://www.ambitionbox.com/reviews/hsbc-electronic-data-processing-reviews
NCR Voyix,ncr-voyix,3.4,https://www.ambitionbox.com/reviews/ncr-voyix-reviews
Microland,microland,3.5,https://www.ambitionbox.com/reviews/microland-reviews
TELUS Digital,telus-digital,3.5,https://www.ambitionbox.com/reviews/telus-digital-reviews
HTC Global Services,htc-global-services,3.4,https://www.ambitionbox.com/reviews/htc-global-services-reviews
Iris Software,iris-software,3.7,https://www.ambitionbox.com/reviews/iris-software-reviews
NeoSOFT,neosoft-technologies,3.3,https://www.ambitionbox.com/reviews/neosoft-technologies-reviews
AXA Global Business Services,axa-business-services,3.7,https://www.ambitionbox.com/reviews/axa-business-services-reviews
SS&C TECHNOLOGIES,ss-and-c-technologies,3.2,https://www.ambitionbox.com/reviews/ss-and-c-technologies-reviews
Orange Business,orange-business,4.0,https://www.ambitionbox.com/reviews/orange-business-reviews
Sysnet Global Technologies,sysnet-global-technologies,3.6,https://www.ambitionbox.com/reviews/sysnet-global-technologies-reviews
NEC,nec,4.0,https://www.ambitionbox.com/reviews/nec-reviews
Clover Infotech,clover-infotech,3.4,https://www.ambitionbox.com/reviews/clover-infotech-reviews
BA Continuum,bank-of-america-continuum-solutions,3.9,https://www.ambitionbox.com/reviews/bank-of-america-continuum-solutions-reviews
HERE Technologies,here-technologies,3.7,https://www.ambitionbox.com/reviews/here-technologies-reviews
iOPEX Technologies,iopex-technologies,3.1,https://www.ambitionbox.com/reviews/iopex-technologies-reviews
XL Dynamics,xl-dynamics,3.7,https://www.ambitionbox.com/reviews/xl-dynamics-reviews
Sonata Software,sonata-software,3.4,https://www.ambitionbox.com/reviews/sonata-software-reviews
QualityKiosk Technologies,qualitykiosk-technologies,3.2,https://www.ambitionbox.com/reviews/qualitykiosk-technologies-reviews
HCL Infosystems,hcl-infosystems,4.0,https://www.ambitionbox.com/reviews/hcl-infosystems-reviews
Happiest Minds Technologies,happiest-minds-technologies,3.4,https://www.ambitionbox.com/reviews/happiest-minds-technologies-reviews
ALTEN,alten,3.5,https://www.ambitionbox.com/reviews/alten-reviews
Apexon,apexon,3.3,https://www.ambitionbox.com/reviews/apexon-reviews
Altimetrik,altimetrik,3.5,https://www.ambitionbox.com/reviews/altimetrik-reviews
Tieto,tieto,4.1,https://www.ambitionbox.com/reviews/tieto-reviews
VOIS,vois,3.8,https://www.ambitionbox.com/reviews/vois-reviews
Slk Software Services,slk-software-services,3.2,https://www.ambitionbox.com/reviews/slk-software-services-reviews
Vfs Global Services,vfs-global-services,3.4,https://www.ambitionbox.com/reviews/vfs-global-services-reviews
TEKsystems,teksystems,3.1,https://www.ambitionbox.com/reviews/teksystems-reviews
Tata Group,tata-group,4.2,https://www.ambitionbox.com/reviews/tata-group-reviews
Unisys,unisys,3.4,https://www.ambitionbox.com/reviews/unisys-reviews
IDC Technologies,idc-technologies,3.1,https://www.ambitionbox.com/reviews/idc-technologies-reviews
TCS iON,tcs-ion,3.8,https://www.ambitionbox.com/reviews/tcs-ion-reviews
iMerit,imerit,3.2,https://www.ambitionbox.com/reviews/imerit-reviews
R Systems International,r-systems-international,3.6,https://www.ambitionbox.com/reviews/r-systems-international-reviews
Incedo,incedo,2.9,https://www.ambitionbox.com/reviews/incedo-reviews
INDIUM,indium-software,3.9,https://www.ambitionbox.com/reviews/indium-software-reviews
Aforeserve,aforeservecom,3.4,https://www.ambitionbox.com/reviews/aforeservecom-reviews
DEXIT Global,dexit-global,3.5,https://www.ambitionbox.com/reviews/dexit-global-reviews
Brillio,brillio,3.3,https://www.ambitionbox.com/reviews/brillio-reviews
GEP Worldwide,gep-worldwide,3.6,https://www.ambitionbox.com/reviews/gep-worldwide-reviews
Globant,globant,3.4,https://www.ambitionbox.com/reviews/globant-reviews
Centre for Development of Advanced Computing,centre-for-development-of-advanced-computing,3.7,https://www.ambitionbox.com/reviews/centre-for-development-of-advanced-computing-reviews
T-Systems ICT India,t-systems,3.7,https://www.ambitionbox.com/reviews/t-systems-reviews
Dell EMC,dell-emc,3.8,https://www.ambitionbox.com/reviews/dell-emc-reviews
Prodapt,prodapt-solutions,3.5,https://www.ambitionbox.com/reviews/prodapt-solutions-reviews
Innova Solutions,innova-solutions,3.3,https://www.ambitionbox.com/reviews/innova-solutions-reviews
Onward Technologies Inc,onward-technologies-inc,2.8,https://www.ambitionbox.com/reviews/onward-technologies-inc-reviews
CALIBEHR,calibehr,3.9,https://www.ambitionbox.com/reviews/calibehr-reviews
Innodata India Private Limited,innodata-isogen,3.7,https://www.ambitionbox.com/reviews/innodata-isogen-reviews
Northcorp Software,northcorp-software-pvt-dot-ltd,4.8,https://www.ambitionbox.com/reviews/northcorp-software-pvt-dot-ltd-reviews
Aspire Systems,aspire-systems,3.8,https://www.ambitionbox.com/reviews/aspire-systems-reviews
Netcracker Technology,netcracker-technology,3.0,https://www.ambitionbox.com/reviews/netcracker-technology-reviews
Encora,encora,3.3,https://www.ambitionbox.com/reviews/encora-reviews
ValueMomentum,valuemomentum,3.2,https://www.ambitionbox.com/reviews/valuemomentum-reviews
Allianz Technology,allianz-technology,4.0,https://www.ambitionbox.com/reviews/allianz-technology-reviews
Visionet Systems,visionet-systems,3.3,https://www.ambitionbox.com/reviews/visionet-systems-reviews
Bounteous x Accolite,accolite,3.2,https://www.ambitionbox.com/reviews/accolite-reviews
Vaco Binary Semantics,vaco-binary-semantics-llp,3.1,https://www.ambitionbox.com/reviews/vaco-binary-semantics-llp-reviews
Mastek,mastek,3.6,https://www.ambitionbox.com/reviews/mastek-reviews
Tiger Analytics,tiger-analytics,3.7,https://www.ambitionbox.com/reviews/tiger-analytics-reviews
Xebia,xebia-it-architects,3.0,https://www.ambitionbox.com/reviews/xebia-it-architects-reviews
Amazon Web Services,amazon-web-services,3.8,https://www.ambitionbox.com/reviews/amazon-web-services-reviews
VeeTechnologies,veetechnologies,3.9,https://www.ambitionbox.com/reviews/veetechnologies-reviews
Lumina Datamatics,lumina-datamatics,3.2,https://www.ambitionbox.com/reviews/lumina-datamatics-reviews
Quantiphi Analytics Solutions Private Limited,quantiphi-analytics-solutions,3.1,https://www.ambitionbox.com/reviews/quantiphi-analytics-solutions-reviews
Entain,entain,3.6,https://www.ambitionbox.com/reviews/entain-reviews
Softenger,softenger,4.0,https://www.ambitionbox.com/reviews/softenger-reviews
Barclays Global Service Centre,barclays-global-service-centre,3.9,https://www.ambitionbox.com/reviews/barclays-global-service-centre-reviews
Xceedance,xceedance,3.5,https://www.ambitionbox.com/reviews/xceedance-reviews
Velocis Systems,velocis-systems,3.8,https://www.ambitionbox.com/reviews/velocis-systems-reviews
Episource,episource,3.9,https://www.ambitionbox.com/reviews/episource-reviews
Test Yantra Software Solutions,test-yantra-software-solutions,3.0,https://www.ambitionbox.com/reviews/test-yantra-software-solutions-reviews
Nityo Infotech,nityo-infotech,3.2,https://www.ambitionbox.com/reviews/nityo-infotech-reviews
ACL Digital,acl-digital,3.6,https://www.ambitionbox.com/reviews/acl-digital-reviews
RAMTeCH Software Solutions,ramtech-software-solutions,3.7,https://www.ambitionbox.com/reviews/ramtech-software-solutions-reviews
MOURI Tech,mouri-tech,3.6,https://www.ambitionbox.com/reviews/mouri-tech-reviews
